"Fecha","Hora","PVPC","Dia"
"2014/04/12","15",95.77865208,"sábado"
"2014/04/12","16",96.11157208,"sábado"
"2014/04/12","17",95.10133208,"sábado"
"2014/04/12","18",94.40105208,"sábado"
"2014/04/12","19",94.52733208,"sábado"
"2014/04/12","20",92.30021208,"sábado"
"2014/04/12","21",96.88073208,"sábado"
"2014/04/12","22",109.11841208,"sábado"
"2014/04/12","23",99.41781208,"sábado"
"2014/04/12","24",27.24215024,"sábado"
"2014/04/13","1",40.66127024,"domingo"
"2014/04/13","2",23.42968756,"domingo"
"2014/04/13","3",22.59346756,"domingo"
"2014/04/13","4",24.35278756,"domingo"
"2014/04/13","5",24.21160756,"domingo"
"2014/04/13","6",23.59258756,"domingo"
"2014/04/13","7",22.13734756,"domingo"
"2014/04/13","8",25.61767024,"domingo"
"2014/04/13","9",24.69103024,"domingo"
"2014/04/13","10",24.99991024,"domingo"
"2014/04/13","11",24.99991024,"domingo"
"2014/04/13","12",25.37743024,"domingo"
"2014/04/13","13",27.23071024,"domingo"
"2014/04/13","14",96.32969208,"domingo"
"2014/04/13","15",96.41005208,"domingo"
"2014/04/13","16",92.90865208,"domingo"
"2014/04/13","17",91.86397208,"domingo"
"2014/04/13","18",91.84101208,"domingo"
"2014/04/13","19",89.75165208,"domingo"
"2014/04/13","20",97.22513208,"domingo"
"2014/04/13","21",119.22081208,"domingo"
"2014/04/13","22",124.35237208,"domingo"
"2014/04/13","23",115.92605208,"domingo"
"2014/04/13","24",40.00919024,"domingo"
"2014/04/14","1",40.23799024,"lunes"
"2014/04/14","2",25.60168756,"lunes"
"2014/04/14","3",20.26942756,"lunes"
"2014/04/14","4",21.63778756,"lunes"
"2014/04/14","5",21.68122756,"lunes"
"2014/04/14","6",22.65862756,"lunes"
"2014/04/14","7",37.75402756,"lunes"
"2014/04/14","8",45.74063024,"lunes"
"2014/04/14","9",52.91351024,"lunes"
"2014/04/14","10",54.64095024,"lunes"
"2014/04/14","11",54.14903024,"lunes"
"2014/04/14","12",50.41959024,"lunes"
"2014/04/14","13",50.22511024,"lunes"
"2014/04/14","14",116.00641208,"lunes"
"2014/04/14","15",112.10321208,"lunes"
"2014/04/14","16",111.72437208,"lunes"
"2014/04/14","17",111.13889208,"lunes"
"2014/04/14","18",113.79077208,"lunes"
"2014/04/14","19",112.52797208,"lunes"
"2014/04/14","20",113.91705208,"lunes"
"2014/04/14","21",125.76441208,"lunes"
"2014/04/14","22",133.98409208,"lunes"
"2014/04/14","23",123.25029208,"lunes"
"2014/04/14","24",47.84559024,"lunes"
"2014/04/15","1",51.87247024,"martes"
"2014/04/15","2",45.90988756,"martes"
"2014/04/15","3",44.72614756,"martes"
"2014/04/15","4",46.50718756,"martes"
"2014/04/15","5",45.69268756,"martes"
"2014/04/15","6",47.77780756,"martes"
"2014/04/15","7",53.12092756,"martes"
"2014/04/15","8",59.89191024,"martes"
"2014/04/15","9",60.52111024,"martes"
"2014/04/15","10",61.49351024,"martes"
"2014/04/15","11",60.71559024,"martes"
"2014/04/15","12",59.68599024,"martes"
"2014/04/15","13",56.79167024,"martes"
"2014/04/15","14",123.77837208,"martes"
